"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000118777",-5.43621810062084,2.69412474929807,-8.68230523776174,6.58352154859098e-14,8.91742057658839e-12,21.2207083305521
"ENSG00000115474",-4.51223901286723,0.781579529877424,-8.67173374551332,6.94509252759032e-14,9.34945799588432e-12,21.1682831156155
"ENSG00000173080",-1.30816703668247,0.435138210599737,-8.66580787303011,7.15636295206717e-14,9.57512635714695e-12,21.1388998900429
"ENSG00000148942",-2.72594404321534,0.287328563935211,-8.65884025717769,7.41298445741246e-14,9.85837078478798e-12,21.1043547724585
"ENSG00000099834",-5.90792906342842,4.30553513073168,-8.62786317046915,8.66959464291477e-14,1.14600551355108e-11,20.9508189600743
"ENSG00000137872",-3.50761076592398,0.879059759937994,-8.61676654632074,9.16963480668661e-14,1.20484608720434e-11,20.8958383151275
"ENSG00000141449",-1.58024814174483,0.457324316712014,-8.60634037542831,9.66562794242667e-14,1.26245758298017e-11,20.844188863127
"ENSG00000183092",-1.0375326619311,0.366889701098699,-8.60438251905823,9.76170689542234e-14,1.26746233376481e-11,20.8344909908935
"ENSG00000169994",-6.39707423210627,3.28490904673863,-8.59699658885243,1.01328096874275e-13,1.30790731159542e-11,20.7979090720549
"ENSG00000181350",-3.77515042435856,3.09457091262371,-8.59013483901306,1.04901648739262e-13,1.34611513350037e-11,20.7639274950373
"ENSG00000188828",-1.46597713747944,0.330200816695548,-8.58734392104994,1.06390832104126e-13,1.35728722608189e-11,20.7501071184902
"ENSG00000165215",-5.96377302766539,4.40611486399424,-8.58014086003922,1.1033235791117e-13,1.3926563229496e-11,20.7144412669505
"ENSG00000081800",-1.9022001046761,0.0940577961192263,-8.57996107680175,1.10432575396815e-13,1.3926563229496e-11,20.7135511295263
"ENSG00000268756",-2.48224923771807,0.521519753148175,-8.57328066827024,1.1422150522276e-13,1.43220713663029e-11,20.6804772535494
"ENSG00000187068",-2.00362619902922,0.715387331649657,-8.54225660227691,1.33587377190354e-13,1.66551580550451e-11,20.5269316400241
"ENSG00000247699",-1.11968860067911,0.0765551170998716,-8.5332238321285,1.39817802511673e-13,1.73334578560092e-11,20.4822421705428
"ENSG00000130957",4.49461208415418,3.50216758244409,8.52058446985541,1.49024975012277e-13,1.83710956555865e-11,20.4197213696985
"ENSG00000184719",-2.69925856681888,0.950806374801334,-8.48210986185284,1.80938831871119e-13,2.21806747918881e-11,20.2294953686428
"ENSG00000134716",-2.89531360686714,3.35586963689824,-8.46296936556982,1.99266918513844e-13,2.42917444052737e-11,20.1349120465881
"ENSG00000122121",-5.94525348250684,1.79790333398153,-8.45695686405429,2.05397515256252e-13,2.49007606478892e-11,20.1052082189711
"ENSG00000076641",-2.90051361666119,2.185353702752,-8.45409655734895,2.08379621405731e-13,2.51234836950877e-11,20.0910785238586
"ENSG00000173702",-5.72984689410636,5.33989240923602,-8.41733891480229,2.50769234816883e-13,2.99055941281895e-11,19.9095685986981
"ENSG00000219507",-2.14399078781817,0.806251319674071,-8.41597321481991,2.52499847851927e-13,2.99492116833235e-11,19.9028272773695
"ENSG00000168903",-5.26346301693424,2.51923416258294,-8.39621535423703,2.78910127751305e-13,3.29038974905746e-11,19.8053198084786
"ENSG00000267727",-2.01513876498965,0.946142513917288,-8.37752855071782,3.06415523890031e-13,3.58883417521824e-11,19.7131339811734
"ENSG00000258122",-1.70764651599463,0.549990704635177,-8.37684014491195,3.07478842884304e-13,3.58883417521824e-11,19.7097386067852
